********************************************************************************
Log File of Assignment21_3
this log is created at : Fri Jun 20 23:27:31 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 100, 'name': 'Registry', 'username': None}
{'pid': 228, 'name': 'SynTPEnh.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 392, 'name': 'smss.exe', 'username': None}
{'pid': 488, 'name': 'svchost.exe', 'username': None}
{'pid': 508, 'name': 'svchost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 516, 'name': 'svchost.exe', 'username': None}
{'pid': 568, 'name': 'csrss.exe', 'username': None}
{'pid': 660, 'name': 'wininit.exe', 'username': None}
{'pid': 692, 'name': 'LockApp.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 732, 'name': 'services.exe', 'username': None}
{'pid': 752, 'name': 'lsass.exe', 'username': None}
{'pid': 816, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 912, 'name': 'svchost.exe', 'username': None}
{'pid': 968, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 1088, 'name': 'svchost.exe', 'username': None}
{'pid': 1128, 'name': 'svchost.exe', 'username': None}
{'pid': 1292, 'name': 'svchost.exe', 'username': None}
{'pid': 1336, 'name': 'svchost.exe', 'username': None}
{'pid': 1348, 'name': 'svchost.exe', 'username': None}
{'pid': 1500, 'name': 'arwsrvc.exe', 'username': None}
{'pid': 1508, 'name': 'scsecsvc.exe', 'username': None}
{'pid': 1520, 'name': 'python.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 1604, 'name': 'svchost.exe', 'username': None}
{'pid': 1636, 'name': 'svchost.exe', 'username': None}
{'pid': 1668, 'name': 'csrss.exe', 'username': None}
{'pid': 1696, 'name': 'svchost.exe', 'username': None}
{'pid': 1752, 'name': 'svchost.exe', 'username': None}
{'pid': 1804, 'name': 'svchost.exe', 'username': None}
{'pid': 1860, 'name': 'svchost.exe', 'username': None}
{'pid': 1884, 'name': 'svchost.exe', 'username': None}
{'pid': 1908, 'name': 'svchost.exe', 'username': None}
{'pid': 2068, 'name': 'explorer.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 2188, 'name': 'svchost.exe', 'username': None}
{'pid': 2196, 'name': 'svchost.exe', 'username': None}
{'pid': 2204, 'name': 'svchost.exe', 'username': None}
{'pid': 2220, 'name': 'powershell.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 2236, 'name': 'bssiss.exe', 'username': None}
{'pid': 2264, 'name': 'MemCompression', 'username': None}
{'pid': 2316, 'name': 'svchost.exe', 'username': None}
{'pid': 2340, 'name': 'igfxCUIService.exe', 'username': None}
{'pid': 2380, 'name': 'svchost.exe', 'username': None}
{'pid': 2472, 'name': 'svchost.exe', 'username': None}
{'pid': 2488, 'name': 'svchost.exe', 'username': None}
{'pid': 2504, 'name': 'svchost.exe', 'username': None}
{'pid': 2524, 'name': 'conhost.exe', 'username': None}
{'pid': 2632, 'name': 'svchost.exe', 'username': None}
{'pid': 2708, 'name': 'svchost.exe', 'username': None}
{'pid': 2732, 'name': 'RtkAudioService64.exe', 'username': None}
{'pid': 2740, 'name': 'svchost.exe', 'username': None}
{'pid': 2768, 'name': 'svchost.exe', 'username': None}
{'pid': 2808, 'name': 'SearchApp.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 2880, 'name': 'svchost.exe', 'username': None}
{'pid': 2900, 'name': 'svchost.exe', 'username': None}
{'pid': 2908, 'name': 'svchost.exe', 'username': None}
{'pid': 2916, 'name': 'svchost.exe', 'username': None}
{'pid': 2948, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 2980, 'name': 'SearchProtocolHost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 3024, 'name': 'svchost.exe', 'username': None}
{'pid': 3036, 'name': 'SearchProtocolHost.exe', 'username': None}
{'pid': 3056, 'name': 'svchost.exe', 'username': None}
{'pid': 3064, 'name': 'svchost.exe', 'username': None}
{'pid': 3176, 'name': 'svchost.exe', 'username': None}
{'pid': 3296, 'name': 'svchost.exe', 'username': None}
{'pid': 3356, 'name': 'spoolsv.exe', 'username': None}
{'pid': 3416, 'name': 'svchost.exe', 'username': None}
{'pid': 3432, 'name': 'scanwscs.exe', 'username': None}
{'pid': 3452, 'name': 'svchost.exe', 'username': None}
{'pid': 3460, 'name': 'svchost.exe', 'username': None}
{'pid': 3472, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 3488, 'name': 'svchost.exe', 'username': None}
{'pid': 3512, 'name': 'cmd.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 3596, 'name': 'svchost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 3608, 'name': 'svchost.exe', 'username': None}
{'pid': 3660, 'name': 'svchost.exe', 'username': None}
{'pid': 3676, 'name': 'svchost.exe', 'username': None}
{'pid': 3892, 'name': 'opssvc.exe', 'username': None}
{'pid': 3980, 'name': 'svchost.exe', 'username': None}
{'pid': 3988, 'name': 'svchost.exe', 'username': None}
{'pid': 4100, 'name': 'svchost.exe', 'username': None}
{'pid': 4192, 'name': 'SynTPEnhService.exe', 'username': None}
{'pid': 4200, 'name': 'qhccmsvc.exe', 'username': None}
{'pid': 4284, 'name': 'AnyDesk.exe', 'username': None}
{'pid': 4312, 'name': 'reprsvc.exe', 'username': None}
{'pid': 4328, 'name': 'quhlpsvc.exe', 'username': None}
{'pid': 4336, 'name': 'BtwRSupportService.exe', 'username': None}
{'pid': 4352, 'name': 'emlproxy.exe', 'username': None}
{'pid': 4360, 'name': 'armsvc.exe', 'username': None}
{'pid': 4552, 'name': 'svchost.exe', 'username': None}
{'pid': 4600, 'name': 'svchost.exe', 'username': None}
{'pid': 4652, 'name': 'svchost.exe', 'username': None}
{'pid': 4660, 'name': 'svchost.exe', 'username': None}
{'pid': 4836, 'name': 'WmiPrvSE.exe', 'username': None}
{'pid': 4912, 'name': 'AggregatorHost.exe', 'username': None}
{'pid': 4976, 'name': 'svchost.exe', 'username': None}
